|resultCount|results
0|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 534823110, 'trackId': 534823615, 'artistName': 'Ludovico Einaudi', 'collectionName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackName': 'Una Mattina', 'collectionCensoredName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackCensoredName': 'Una Mattina', 'collectionArtistId': 36270, 'collectionArtistName': 'Various Artists', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/una-mattina/534823110?i=534823615&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/una-mattina/534823110?i=534823615&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/40/c0/a840c001-12f2-0542-53fc-13a99c87a3ec/mzaf_1605302388642834557.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg', 'collectionPrice': 10.99, 'trackPrice': 1.29, 'releaseDate': '2011-10-31T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 11, 'trackNumber': 11, 'trackTimeMillis': 401800, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Soundtrack', 'isStreamable': True}
1|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 534823110, 'trackId': 534823297, 'artistName': 'Ludovico Einaudi', 'collectionName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackName': 'Fly', 'collectionCensoredName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackCensoredName': 'Fly', 'collectionArtistId': 36270, 'collectionArtistName': 'Various Artists', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/fly/534823110?i=534823297&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/fly/534823110?i=534823297&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/39/19/7c/39197c17-e864-6552-d947-220e27496cae/mzaf_3606383492421917961.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg', 'collectionPrice': 10.99, 'trackPrice': 1.29, 'releaseDate': '2011-10-31T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 11, 'trackNumber': 1, 'trackTimeMillis': 200547, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Soundtrack', 'isStreamable': True}
2|106|"{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 534823110, 'trackId': 534823348, 'artistName': 'Ludovico Einaudi', 'collectionName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackName': ""L'origine Nascosta"", 'collectionCensoredName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackCensoredName': ""L'origine Nascosta"", 'collectionArtistId': 36270, 'collectionArtistName': 'Various Artists', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/lorigine-nascosta/534823110?i=534823348&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/lorigine-nascosta/534823110?i=534823348&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/31/25/af/3125af23-c73a-09a1-606e-0af824d6a0ae/mzaf_807857984415130332.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg', 'collectionPrice': 10.99, 'trackPrice': 1.29, 'releaseDate': '2006-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 11, 'trackNumber': 7, 'trackTimeMillis': 192827, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Soundtrack', 'isStreamable': True}"
3|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 534823110, 'trackId': 534823323, 'artistName': 'Ludovico Einaudi', 'collectionName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackName': 'Writing Poems', 'collectionCensoredName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackCensoredName': 'Writing Poems', 'collectionArtistId': 36270, 'collectionArtistName': 'Various Artists', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/writing-poems/534823110?i=534823323&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/writing-poems/534823110?i=534823323&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a6/ce/55/a6ce555f-f390-9b8d-9647-fb7f979e7541/mzaf_11000518514589250468.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg', 'collectionPrice': 10.99, 'trackPrice': 1.29, 'releaseDate': '2011-10-31T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 11, 'trackNumber': 3, 'trackTimeMillis': 249427, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Soundtrack', 'isStreamable': True}
4|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1440762051, 'trackId': 1440762319, 'artistName': 'Ludovico Einaudi', 'collectionName': 'Una Mattina', 'trackName': 'Nuvole Bianche', 'collectionCensoredName': 'Una Mattina', 'trackCensoredName': 'Nuvole Bianche', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/74/71/5374716f-6894-2f16-e576-36335c5acfe6/mzaf_16695769845581058551.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg', 'collectionPrice': 11.99, 'trackPrice': 1.29, 'releaseDate': '2004-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 13, 'trackNumber': 12, 'trackTimeMillis': 357707, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical', 'isStreamable': True}
5|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 534823110, 'trackId': 534823404, 'artistName': 'Ludovico Einaudi', 'collectionName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackName': 'Cache-Cache', 'collectionCensoredName': 'The Intouchables (Original Motion Picture Soundtrack)', 'trackCensoredName': 'Cache-Cache', 'collectionArtistId': 36270, 'collectionArtistName': 'Various Artists', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/cache-cache/534823110?i=534823404&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/cache-cache/534823110?i=534823404&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/90/cd/db/90cddb6f-28f7-9ded-3d40-13e284723aa9/mzaf_6489772967723110589.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg', 'collectionPrice': 10.99, 'trackPrice': 1.29, 'releaseDate': '2004-02-20T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 11, 'trackNumber': 9, 'trackTimeMillis': 231173, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Soundtrack', 'isStreamable': True}
6|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1559739125, 'trackId': 1559739399, 'artistName': 'Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani', 'collectionName': 'Cinema', 'trackName': 'Experience', 'collectionCensoredName': 'Cinema', 'trackCensoredName': 'Experience', 'collectionArtistName': 'Ludovico Einaudi', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/experience/1559739125?i=1559739399&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/experience/1559739125?i=1559739399&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5e/09/ae/5e09aec9-6ce7-f6ef-2c09-8198d334d7bc/mzaf_14004971175546618562.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/64/dd/03/64dd030b-9425-2a06-5c01-d95fd1a56fc8/21UMGIM16975.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/64/dd/03/64dd030b-9425-2a06-5c01-d95fd1a56fc8/21UMGIM16975.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/64/dd/03/64dd030b-9425-2a06-5c01-d95fd1a56fc8/21UMGIM16975.rgb.jpg/100x100bb.jpg', 'collectionPrice': 16.99, 'trackPrice': 1.29, 'releaseDate': '2013-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 28, 'trackNumber': 1, 'trackTimeMillis': 316947, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical', 'isStreamable': True}
7|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1452504769, 'trackId': 1452505054, 'artistName': 'Ludovico Einaudi', 'collectionName': 'Divenire', 'trackName': 'Primavera', 'collectionCensoredName': 'Divenire', 'trackCensoredName': 'Primavera', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/primavera/1452504769?i=1452505054&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/primavera/1452504769?i=1452505054&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/fa/33/e9/fa33e9c4-e804-ba82-6dab-ce1ad237e99b/mzaf_6110147049741517334.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '2006-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 12, 'trackNumber': 6, 'trackTimeMillis': 442400, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical', 'isStreamable': True}
8|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1452504769, 'trackId': 1452504877, 'artistName': 'Ludovico Einaudi', 'collectionName': 'Divenire', 'trackName': 'Divenire', 'collectionCensoredName': 'Divenire', 'trackCensoredName': 'Divenire', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9e/b6/61/9eb6618d-8eb7-ee7b-55f1-3b7b84c48dc8/mzaf_17013034790131239795.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '2006-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 12, 'trackNumber': 2, 'trackTimeMillis': 402240, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical', 'isStreamable': True}
9|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1440772612, 'trackId': 1440772735, 'artistName': 'Ludovico Einaudi', 'collectionName': 'In a Time Lapse', 'trackName': 'Waterways', 'collectionCensoredName': 'In a Time Lapse', 'trackCensoredName': 'Waterways', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/waterways/1440772612?i=1440772735&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/waterways/1440772612?i=1440772735&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/53/c3/5e/53c35e6a-56b8-e408-02bb-9d87049e746f/mzaf_7743053855637991482.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/100x100bb.jpg', 'collectionPrice': 11.99, 'trackPrice': 1.29, 'releaseDate': '2013-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 19, 'trackNumber': 11, 'trackTimeMillis': 257547, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical Crossover', 'isStreamable': True}
10|106|{'wrapperType': 'track', 'kind': 'song', 'artistId': 7420827, 'collectionId': 1440772612, 'trackId': 1440772708, 'artistName': 'Ludovico Einaudi', 'collectionName': 'In a Time Lapse', 'trackName': 'Walk', 'collectionCensoredName': 'In a Time Lapse', 'trackCensoredName': 'Walk', 'artistViewUrl': 'https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/walk/1440772612?i=1440772708&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/walk/1440772612?i=1440772708&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a6/5f/e4/a65fe467-8ffe-dc87-dd21-2e241a8dd5b7/mzaf_2986491527081939494.plus.aac.p.m4a', 'artworkUrl30': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/30x30bb.jpg', 'artworkUrl60': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/60x60bb.jpg', 'artworkUrl100': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/13/fd/7b/13fd7bfd-125a-4493-dc85-96aef9c25562/12UMGIM65023.rgb.jpg/100x100bb.jpg', 'collectionPrice': 11.99, 'trackPrice': 1.29, 'releaseDate': '2013-01-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 19, 'trackNumber': 4, 'trackTimeMillis': 207711, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Classical Crossover', 'isStreamable': True}
