|wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|collectionArtistId|collectionArtistName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|collectionPrice|trackPrice|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistViewUrl
0|track|song|7420827|534823110|534823615|Ludovico Einaudi|The Intouchables (Original Motion Picture Soundtrack)|Una Mattina|The Intouchables (Original Motion Picture Soundtrack)|Una Mattina|36270.0|Various Artists|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/una-mattina/534823110?i=534823615&uo=4|https://music.apple.com/us/album/una-mattina/534823110?i=534823615&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/40/c0/a840c001-12f2-0542-53fc-13a99c87a3ec/mzaf_1605302388642834557.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg|10.99|1.29|2011-10-31T12:00:00Z|notExplicit|notExplicit|1|1|11|11|401800|USA|USD|Soundtrack|True|
1|track|song|7420827|534823110|534823297|Ludovico Einaudi|The Intouchables (Original Motion Picture Soundtrack)|Fly|The Intouchables (Original Motion Picture Soundtrack)|Fly|36270.0|Various Artists|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/fly/534823110?i=534823297&uo=4|https://music.apple.com/us/album/fly/534823110?i=534823297&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/39/19/7c/39197c17-e864-6552-d947-220e27496cae/mzaf_3606383492421917961.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/bc/51/39bc513b-0721-3228-782f-057509042a50/886443484481.jpg/100x100bb.jpg|10.99|1.29|2011-10-31T12:00:00Z|notExplicit|notExplicit|1|1|11|1|200547|USA|USD|Soundtrack|True|
2|track|song|7420827|1676434349|1676434352|Ludovico Einaudi|Undiscovered, Vol. 2|Lady Labyrinth|Undiscovered, Vol. 2|Lady Labyrinth|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/lady-labyrinth/1676434349?i=1676434352&uo=4|https://music.apple.com/us/album/lady-labyrinth/1676434349?i=1676434352&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/4f/18/12/4f1812d7-b5bc-5230-8bbb-317297a460ed/mzaf_8598161866598570105.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/100x100bb.jpg|12.99|1.29|2009-09-14T12:00:00Z|notExplicit|notExplicit|1|1|19|1|329933|USA|USD|Classical|True|
3|track|song|7420827|1589791548|1589791559|Ludovico Einaudi|Underwater (Video Edition)|Wind Song|Underwater (Video Edition)|Wind Song|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/wind-song/1589791548?i=1589791559&uo=4|https://music.apple.com/us/album/wind-song/1589791548?i=1589791559&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ec/90/57/ec90576d-edba-62d0-49d4-f3de4c819f39/mzaf_3803468450086527550.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2022-01-21T12:00:00Z|notExplicit|notExplicit|1|1|12|8|198650|USA|USD|Classical Crossover|True|
4|track|song|7420827|1440762051|1440762319|Ludovico Einaudi|Una Mattina|Nuvole Bianche|Una Mattina|Nuvole Bianche|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4|https://music.apple.com/us/album/nuvole-bianche/1440762051?i=1440762319&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/74/71/5374716f-6894-2f16-e576-36335c5acfe6/mzaf_16695769845581058551.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg|11.99|1.29|2004-01-01T12:00:00Z|notExplicit|notExplicit|1|1|13|12|357707|USA|USD|Classical|True|
5|track|song|7420827|1676434349|1676434447|Ludovico Einaudi|Undiscovered, Vol. 2|Bella Notte|Undiscovered, Vol. 2|Bella Notte|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/bella-notte/1676434349?i=1676434447&uo=4|https://music.apple.com/us/album/bella-notte/1676434349?i=1676434447&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/1a/da/4a/1ada4a3b-6b03-3088-5f72-1c65e7df015b/mzaf_3011974076237054019.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/100x100bb.jpg|12.99|1.29|2001-11-09T12:00:00Z|notExplicit|notExplicit|1|1|19|18|311826|USA|USD|Classical|True|
6|track|song|7420827|1676434349|1676434434|Ludovico Einaudi & Marco Decimo|Undiscovered, Vol. 2|DNA|Undiscovered, Vol. 2|DNA||Ludovico Einaudi|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/dna/1676434349?i=1676434434&uo=4|https://music.apple.com/us/album/dna/1676434349?i=1676434434&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/7a/da/60/7ada6026-1149-0ddb-0f41-67f94e5db2b4/mzaf_11873778495166029053.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/a7/b4/27a7b498-7ee5-248d-8dbd-abed4d203173/23UMGIM21931.rgb.jpg/100x100bb.jpg|12.99|1.29|2004-01-01T12:00:00Z|notExplicit|notExplicit|1|1|19|13|222856|USA|USD|Classical|True|
7|track|song|7420827|1589791548|1589791564|Ludovico Einaudi|Underwater (Video Edition)|Underwater|Underwater (Video Edition)|Underwater|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/underwater/1589791548?i=1589791564&uo=4|https://music.apple.com/us/album/underwater/1589791548?i=1589791564&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ec/44/19/ec44198b-1ef5-343c-3149-06a6923cf6f0/mzaf_9979658031498233474.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/57/8f/7a/578f7a73-7f9c-4a27-eeef-918cc78d7fb2/21UMGIM81023.rgb.jpg/100x100bb.jpg|11.99|1.29|2022-01-21T12:00:00Z|notExplicit|notExplicit|1|1|12|12|234655|USA|USD|Classical Crossover|True|
8|track|song|7420827|1553768568|1553768571|Ludovico Einaudi, Federico Mecozzi & Redi Hasa|Nomadland (Original Motion Picture Soundtrack)|Seven Days Walking / Day 1: Golden Butterflies|Nomadland (Original Motion Picture Soundtrack)|Seven Days Walking / Day 1: Golden Butterflies|36270.0|Various Artists & Ólafur Arnalds|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/seven-days-walking-day-1-golden-butterflies/1553768568?i=1553768571&uo=4|https://music.apple.com/us/album/seven-days-walking-day-1-golden-butterflies/1553768568?i=1553768571&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2d/93/60/2d936018-4042-e925-a368-979d878c2c03/mzaf_73120583623997976.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/17/b9/87/17b9877a-2c75-ba79-610f-9481f8d1046b/21UMGIM09299.rgb.jpg/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/17/b9/87/17b9877a-2c75-ba79-610f-9481f8d1046b/21UMGIM09299.rgb.jpg/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/17/b9/87/17b9877a-2c75-ba79-610f-9481f8d1046b/21UMGIM09299.rgb.jpg/100x100bb.jpg|9.99|1.29|2021-02-19T12:00:00Z|notExplicit|notExplicit|1|1|11|2|348494|USA|USD|Soundtrack|True|
9|track|song|7420827|1452504769|1452504877|Ludovico Einaudi|Divenire|Divenire|Divenire|Divenire|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4|https://music.apple.com/us/album/divenire/1452504769?i=1452504877&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d7/ed/f6/d7edf605-bf77-428a-6d5e-5bb37b69f73d/mzaf_11947352015285679750.plus.aac.p.m4a|https://is5-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is5-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|2|402240|USA|USD|Classical|True|
