iter	MultiClass
0	1.006981334
1	0.9348205728
2	0.8746755534
3	0.8236579955
4	0.7804487602
5	0.7435095238
6	0.7125656273
7	0.687788218
8	0.6642033213
9	0.6421459893
10	0.6230805327
11	0.6033157535
12	0.5878670867
13	0.573174528
14	0.5612518342
15	0.5491200782
16	0.5396639646
17	0.5255341375
18	0.5160840406
19	0.5055456197
20	0.4949410115
21	0.486023676
22	0.4782161845
23	0.4715689715
24	0.4656077591
25	0.4583439971
26	0.4508160627
27	0.4449726536
28	0.4398448545
29	0.4360712951
30	0.4323220554
31	0.425053134
32	0.4204591157
33	0.4150717656
34	0.4121492131
35	0.4087674578
36	0.4037381247
37	0.3988390971
38	0.3955728349
39	0.3934469536
40	0.3888798849
41	0.3852350989
42	0.3818594088
43	0.3786903748
44	0.377155646
45	0.3751124871
46	0.3716718625
47	0.3686433112
48	0.3657421756
49	0.3628601014
50	0.3605334151
51	0.3583659745
52	0.3567184889
53	0.3545886522
54	0.3512979724
55	0.3489021655
56	0.3458787568
57	0.3442195462
58	0.3425005834
59	0.3399284952
60	0.3376163063
61	0.3367516085
62	0.3347970139
63	0.3332955032
64	0.3310561942
65	0.3294006651
66	0.3279622281
67	0.326223497
68	0.3253242345
69	0.3228662985
70	0.3222450837
71	0.3200863248
72	0.3173164327
73	0.3157236685
74	0.314248648
75	0.3126296228
76	0.3109812096
77	0.309282817
78	0.3080561043
79	0.3060028528
80	0.3051788342
81	0.3036777326
82	0.3024892394
83	0.3017257036
84	0.2999942009
85	0.2982800866
86	0.2966768121
87	0.2953571462
88	0.2947273171
89	0.2942983136
90	0.2925364718
91	0.2908831585
92	0.290408523
93	0.2896802846
94	0.2894354046
95	0.2889422024
96	0.2886813229
97	0.2881048967
98	0.2863503667
99	0.2854852894
100	0.2847975049
101	0.2845237696
102	0.28395815
103	0.2833197124
104	0.2824069336
105	0.2820046661
106	0.2810488162
107	0.28010883
108	0.2794430926
109	0.2789548199
110	0.2784433565
111	0.2768978059
112	0.2765122317
113	0.275619295
114	0.2746277491
115	0.2744521747
116	0.2737502708
117	0.2729418984
118	0.2727174351
119	0.2724865346
120	0.2712567084
121	0.270022908
122	0.26900892
123	0.2683339388
124	0.2680155264
125	0.2667304797
126	0.2660138599
